spread,order_size,depth,slippage
0.1,19411,1641.4900000000002,0.004847
0.1,10358,1645.02,0.004847
0.1,1957,1642.92,0.004847
0.1,12773,1642.8799999999999,0.004847
0.1,5188,1643.62,0.004847
0.1,4959,1643.62,0.004847
0.1,4024,1643.62,0.004847
0.1,4158,1618.8400000000001,0.004847
0.1,9483,1618.8400000000001,0.004847
0.1,2884,1618.1799999999998,0.004847
0.1,5171,1618.2399999999998,0.004847
0.1,19636,1618.2600000000002,0.004847
0.1,16177,1618.27,0.004847
0.1,6715,1618.27,0.004847
0.1,11877,1617.71,0.004847
0.1,3236,1618.2800000000002,0.004847
0.1,7662,1489.8700000000001,0.004847
0.1,17883,1360.96,0.004847
0.1,2272,1389.73,0.004847
0.1,7032,1478.92,0.004847
0.1,15199,1478.93,0.004847
0.1,4423,1411.69,0.004847
0.1,6827,1361.95,0.004847
0.1,4333,1389.1299999999999,0.004847
0.1,13807,1389.11,0.004847
0.1,2123,1390.94,0.004847
0.1,12598,1380.19,0.004847
0.1,16420,1380.19,0.004847
0.1,11558,1362.44,0.004847
0.1,4858,1390.92,0.004847
0.1,17334,1361.8500000000001,0.004847
0.1,14390,1382.79,0.004847
0.1,4063,1382.8400000000001,0.004847
0.1,16019,1382.8400000000001,0.004847
0.1,3222,1382.8400000000001,0.004847
0.1,9759,1375.39,0.004847
0.1,5639,1375.38,0.004847
0.1,2580,1356.2800000000002,0.004847
0.1,18826,1341.77,0.004847
0.1,311,1090.86,0.004847
0.1,12194,1081.56,0.004847
0.1,9731,1165.95,0.004847
0.1,11599,1166.27,0.004847
0.1,10663,1243.1100000000001,0.004847
0.1,2596,1243.14,0.004847
0.1,19524,1243.14,0.004847
0.1,8017,1129.72,0.004847
0.1,2269,1373.68,0.004847
0.1,1473,1443.54,0.004847
0.1,1192,1415.61,0.004847
0.1,763,1415.19,0.004847
0.1,9255,1423.42,0.004847
0.1,483,1423.29,0.004847
0.1,4861,1422.05,0.004847
0.1,2441,1393.75,0.004847
0.1,17481,1315.0900000000001,0.004847
0.1,13533,1252.59,0.004847
0.1,9541,1252.6499999999999,0.004847
0.1,12321,1252.5099999999998,0.004847
0.1,10003,1252.98,0.004847
0.1,1136,1252.98,0.004847
0.1,16181,1252.0,0.004847
0.1,8841,1252.9899999999998,0.004847
0.1,4849,1243.58,0.004847
0.1,14189,1946.3400000000001,0.004847
0.1,2051,1722.88,0.004847
0.1,19642,1689.58,0.004847
0.1,6391,1696.55,0.004847
0.1,6792,2277.37,0.004847
0.1,13384,2275.24,0.004847
0.1,163,2275.24,0.004847
0.1,17761,2275.22,0.004847
0.1,1685,2275.73,0.004847
0.1,8256,2275.79,0.004847
0.1,16933,2240.7200000000003,0.004847
0.1,1597,1815.42,0.004847
0.1,2472,1924.6599999999999,0.004847
0.1,14831,2380.23,0.004847
0.1,2262,2140.79,0.004847
0.1,18339,2003.17,0.004847
0.1,17831,2038.53,0.004847
0.1,18963,2041.52,0.004847
0.1,12330,2030.88,0.004847
0.1,5240,2034.56,0.004847
0.1,4431,2032.63,0.004847
0.1,4118,2032.68,0.004847
0.1,16540,2014.3000000000002,0.004847
0.1,10584,1975.8000000000002,0.004847
0.1,19449,1973.13,0.004847
0.1,6517,1973.13,0.004847
0.1,9800,1947.01,0.004847
0.1,13458,1945.11,0.004847
0.1,8992,1939.16,0.004847
0.1,11494,1945.66,0.004847
0.1,19540,1971.8400000000001,0.004847
0.1,8391,1972.76,0.004847
0.1,6673,1922.81,0.004847
0.1,4739,1249.26,0.004847
0.1,10470,1222.71,0.004847
0.1,4717,1232.6,0.004847
0.1,14364,1311.26,0.004847
0.1,8059,1311.25,0.004847
